Timestamp,MQ3,MQ135,MQ138,MQ131,TGS2602
2026-04-01 10:14:14.912,187.0,109.0,1616.0,3659.0,737.0
2026-04-01 10:14:15.888,187.0,109.0,1616.0,3659.0,737.0
2026-04-01 10:14:16.983,187.0,109.0,1616.0,3655.0,737.0
2026-04-01 10:14:17.966,187.0,109.0,1616.0,3659.0,738.0
2026-04-01 10:14:18.959,187.0,109.0,1616.0,3659.0,738.0
2026-04-01 10:14:20.042,187.0,109.0,1617.0,3659.0,738.0
2026-04-01 10:14:21.026,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:22.015,187.0,109.0,1617.0,3659.0,738.0
2026-04-01 10:14:23.083,187.0,109.0,1617.0,3661.0,738.0
2026-04-01 10:14:24.066,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:25.072,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:26.094,187.0,109.0,1617.0,3655.0,738.0
2026-04-01 10:14:27.119,187.0,109.0,1617.0,3659.0,738.0
2026-04-01 10:14:28.144,187.0,109.0,1617.0,3659.0,738.0
2026-04-01 10:14:29.152,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:30.244,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:31.213,187.0,109.0,1617.0,3657.0,738.0
2026-04-01 10:14:32.215,187.0,109.0,1617.0,3658.0,738.0
2026-04-01 10:14:33.232,187.0,109.0,1617.0,3661.0,738.0
2026-04-01 10:14:34.329,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:35.308,187.0,109.0,1617.0,3659.0,738.0
2026-04-01 10:14:36.311,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:37.328,187.0,109.0,1617.0,3657.0,738.0
2026-04-01 10:14:38.383,187.0,109.0,1617.0,3661.0,738.0
2026-04-01 10:14:39.439,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:40.383,187.0,109.0,1617.0,3660.0,739.0
2026-04-01 10:14:41.424,187.0,109.0,1617.0,3660.0,738.0
2026-04-01 10:14:42.443,187.0,109.0,1617.0,3660.0,739.0
