Timestamp,MQ3,MQ135,MQ138,MQ131,TGS2602
2026-04-01 10:03:34.346,184.0,103.0,1617.0,3644.0,802.0
2026-04-01 10:03:35.107,184.0,103.0,1617.0,3646.0,802.0
2026-04-01 10:03:36.095,184.0,103.0,1617.0,3647.0,802.0
2026-04-01 10:03:37.189,184.0,103.0,1617.0,3649.0,802.0
2026-04-01 10:03:38.171,184.0,103.0,1617.0,3649.0,802.0
2026-04-01 10:03:39.167,184.0,103.0,1617.0,3645.0,802.0
2026-04-01 10:03:40.247,184.0,103.0,1617.0,3650.0,802.0
2026-04-01 10:03:41.230,184.0,103.0,1617.0,3651.0,803.0
2026-04-01 10:03:42.234,184.0,103.0,1618.0,3652.0,803.0
2026-04-01 10:03:43.247,184.0,103.0,1618.0,3651.0,803.0
2026-04-01 10:03:44.271,184.0,103.0,1618.0,3650.0,803.0
2026-04-01 10:03:45.279,184.0,103.0,1618.0,3655.0,803.0
2026-04-01 10:03:46.367,184.0,103.0,1618.0,3654.0,803.0
2026-04-01 10:03:47.327,184.0,103.0,1618.0,3652.0,803.0
2026-04-01 10:03:48.348,184.0,103.0,1618.0,3652.0,803.0
2026-04-01 10:03:49.360,185.0,103.0,1617.0,3652.0,802.0
2026-04-01 10:03:50.441,184.0,103.0,1617.0,3652.0,802.0
2026-04-01 10:03:51.422,184.0,103.0,1617.0,3650.0,802.0
2026-04-01 10:03:52.425,184.0,103.0,1617.0,3648.0,802.0
2026-04-01 10:03:53.455,184.0,103.0,1617.0,3650.0,802.0
2026-04-01 10:03:54.464,184.0,103.0,1617.0,3655.0,802.0
2026-04-01 10:03:55.550,184.0,102.0,1616.0,3634.0,801.0
2026-04-01 10:03:56.527,184.0,103.0,1615.0,3630.0,800.0
2026-04-01 10:03:57.534,184.0,102.0,1615.0,3637.0,800.0
2026-04-01 10:03:58.544,185.0,103.0,1617.0,3673.0,801.0
2026-04-01 10:03:59.639,184.0,103.0,1616.0,3654.0,801.0
2026-04-01 10:04:00.622,184.0,103.0,1617.0,3650.0,801.0
2026-04-01 10:04:01.616,184.0,102.0,1616.0,3647.0,801.0
2026-04-01 10:04:02.640,184.0,103.0,1617.0,3647.0,801.0
2026-04-01 10:04:03.648,184.0,103.0,1617.0,3648.0,801.0
2026-04-01 10:04:04.744,184.0,103.0,1617.0,3649.0,801.0
2026-04-01 10:04:05.725,184.0,103.0,1617.0,3649.0,801.0
2026-04-01 10:04:06.720,184.0,103.0,1616.0,3649.0,801.0
2026-04-01 10:04:07.728,184.0,103.0,1616.0,3649.0,801.0
2026-04-01 10:04:08.822,184.0,103.0,1616.0,3647.0,801.0
2026-04-01 10:04:09.806,184.0,102.0,1616.0,3647.0,801.0
2026-04-01 10:04:10.801,184.0,102.0,1614.0,3645.0,799.0
2026-04-01 10:04:11.824,184.0,103.0,1618.0,3651.0,799.0
2026-04-01 10:04:12.833,183.0,102.0,1617.0,3650.0,791.0
2026-04-01 10:04:13.929,182.0,102.0,1613.0,3644.0,780.0
2026-04-01 10:04:14.910,182.0,102.0,1612.0,3646.0,770.0
2026-04-01 10:04:15.905,182.0,102.0,1611.0,3648.0,763.0
